Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,total,long,lat
K0101,雅麗珊社區中心,荃灣區,Princess Alexandra Community Centre,TSUEN WAN DISTRICT,86,200,3,6,210,0,355,171,27,273,171,153,46,168,80,712,7,2,15,339,3024,114.1146724,22.3716227
K0201,荃灣天主教小學,荃灣區,Tsuen Wan Catholic Primary School,TSUEN WAN DISTRICT,125,179,3,4,236,1,298,105,17,276,145,155,41,142,82,1032,4,4,14,410,3273,114.1194857,22.3691427
K0301,天主教石鐘山紀念小學,荃灣區,Shak Chung Shan Memorial Catholic Primary School,TSUEN WAN DISTRICT,217,539,10,13,728,4,1151,521,85,878,370,413,123,405,331,1378,21,7,43,1193,8430,114.1131396,22.3637959
K0401,寶安商會王少清中學,荃灣區,POCA Wong Siu Ching Secondary School,TSUEN WAN DISTRICT,74,208,5,2,272,2,362,201,31,322,268,210,58,251,125,1241,9,5,189,468,4303,114.110242,22.371201
K0501,荃灣官立中學,荃灣區,Tsuen Wan Government Secondary School,TSUEN WAN DISTRICT,78,200,2,4,295,2,258,122,18,267,313,184,48,1469,103,349,10,3,32,378,4135,114.1135576,22.3726705
K0601,荃景圍體育館,荃灣區,Tsuen King Circuit Sports Centre,TSUEN WAN DISTRICT,118,379,3,7,505,2,2650,172,35,818,292,450,90,166,222,394,15,12,16,883,7229,114.111393,22.377537
K0701,柴灣角天主教小學,荃灣區,Chai Wan Kok Catholic Primary School,TSUEN WAN DISTRICT,172,502,7,10,517,3,783,214,37,599,272,321,94,240,168,1254,16,13,22,915,6159,114.1064656,22.3780996
K0801,中華基督教會基慧小學,荃灣區,CCC Kei Wai Primary School,TSUEN WAN DISTRICT,66,227,0,6,275,1,505,128,22,333,160,194,48,112,144,854,1,7,17,503,3603,114.1048217,22.3791106
K0901,荃灣官立小學,荃灣區,Tsuen Wan Government Primary School ,TSUEN WAN DISTRICT,152,452,3,14,557,2,940,337,57,871,327,275,88,278,277,1267,12,8,24,996,6937,114.1008764,22.3718329
K1001,深井天主教小學,荃灣區,Sham Tseng Catholic Primary School,TSUEN WAN DISTRICT,153,402,10,15,584,6,1856,488,86,1036,393,330,113,231,261,844,25,7,26,1199,8065,114.060437,22.367286
K1101,香港浸信會聯會小學,荃灣區,Hong Kong Baptist Convention Primary School,TSUEN WAN DISTRICT,142,401,7,9,464,5,880,229,43,775,248,238,76,232,210,1047,10,6,16,920,5958,114.1004118,22.3709464
K1102,荃灣聖芳濟中學,荃灣區,"St. Francis Xavier's School, Tsuen Wan",TSUEN WAN DISTRICT,111,204,4,11,290,2,295,117,20,363,163,140,40,106,110,1178,10,6,18,500,3688,114.1171042,22.3686168
K1201,澳仙納幼稚園舊址,荃灣區,Former Site of Oceanic English Kindergarten,TSUEN WAN DISTRICT,14,78,1,1,75,1,215,109,14,118,71,47,12,42,27,179,6,5,2,149,1166,114.0470236,22.3649258
K1202,豪景花園遊樂會,荃灣區,Hongkong Garden Club Ltd.,TSUEN WAN DISTRICT,32,138,3,7,157,1,418,124,33,214,101,56,23,82,59,273,6,3,1,255,1986,114.0424972,22.3621089
K1301,中華基督教會基慧小學(馬灣),荃灣區,CCC Kei Wai Primary School (Ma Wan),TSUEN WAN DISTRICT,173,254,3,3,280,1,799,161,91,565,251,242,39,130,206,354,9,12,14,861,4448,114.0597776,22.3507026
K1401,蕙荃體育館,荃灣區,Wai Tsuen Sports Centre,TSUEN WAN DISTRICT,207,355,11,10,458,5,886,717,70,772,304,316,94,340,282,1087,15,10,25,945,6909,114.1222438,22.3721304
K1501,梨木樹社區會堂,荃灣區,Lei Muk Shue Community Hall,TSUEN WAN DISTRICT,120,189,3,1,410,0,262,123,59,517,254,198,57,276,98,1045,13,5,30,411,4071,114.136823,22.379077
K1502,河背村村公所,荃灣區,Ho Pui Tsuen Village Office,TSUEN WAN DISTRICT,34,81,1,5,102,1,160,76,18,140,56,73,14,56,25,229,8,2,5,208,1294,114.127743,22.371666
K1601,梨木樹天主教小學,荃灣區,Lei Muk Shue Catholic Primary School,TSUEN WAN DISTRICT,173,222,4,4,443,6,280,91,34,729,321,211,53,395,94,1188,20,7,23,414,4712,114.1338631,22.3778054
K1701,香港道教聯合會圓玄學院石圍角小學,荃灣區,HKTA YYI Shek Wai Kok Primary School,TSUEN WAN DISTRICT,112,152,3,9,227,4,219,113,38,189,164,152,39,239,69,1121,7,4,17,260,3138,114.1222587,22.374598
K1801,前荃灣信義學校,荃灣區,Former Tsuen Wan Lutheran School,TSUEN WAN DISTRICT,72,126,3,0,138,1,147,83,30,118,106,100,24,102,58,733,8,0,5,231,2085,114.130881,22.3784476
K1802,荃灣公立何傳耀紀念中學,荃灣區,Tsuen Wan Public Ho Chuen Yiu Memorial College,TSUEN WAN DISTRICT,80,139,2,3,217,1,172,87,28,149,170,127,29,169,66,810,9,1,12,263,2534,114.12563,22.375457
