Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,total,long,lat
C0101,東區少年警訊會所,東區,Eastern District JPC Club House,EASTERN DISTRICT,222,70,963,283,448,22,264,858,27,440,2,21,953,580,343,5496,114.2140824,22.2863742
C0201,聖安娜中英文幼稚園,東區,St. Anna Anglo-Chinese Kindergarten,EASTERN DISTRICT,121,57,647,195,216,10,156,603,16,295,2,12,395,396,199,3320,114.2202422,22.2863928
C0202,太古城郵政局,東區,Tai Koo Shing Post Office,EASTERN DISTRICT,119,32,771,186,236,24,114,481,18,316,4,15,466,364,187,3333,114.2187656,22.2866975
C0301,西灣河健康中心,東區,Sai Wan Ho Health Centre,EASTERN DISTRICT,186,73,917,417,284,22,212,665,27,506,8,23,503,451,382,4676,114.2237716,22.2847024
C0401,中華基督教會基灣小學(愛蝶灣),東區,CCC Kei Wan Primary School (Aldrich Bay),EASTERN DISTRICT,146,151,920,391,891,50,450,785,31,581,15,29,702,513,874,6529,114.2260006,22.2812995
C0501,筲箕灣郵政局,東區,Shau Kei Wan Post Office,EASTERN DISTRICT,63,83,444,262,465,21,344,492,19,287,9,24,304,321,368,3506,114.2290307,22.2788807
C0601,愛秩序灣官立小學,東區,Aldrich Bay Government Primary School,EASTERN DISTRICT,90,91,584,240,305,19,250,447,26,318,8,21,314,285,436,3434,114.2285083,22.2825598
C0602,筲箕灣官立小學,東區,Shau Kei Wan Government Primary School,EASTERN DISTRICT,53,75,478,199,351,34,247,404,23,289,10,19,269,310,622,3383,114.2308303,22.28106
C0701,嶺南中學,東區,Lingnan Secondary School,EASTERN DISTRICT,413,103,1039,463,397,39,448,1177,40,820,4,21,931,870,1370,8135,114.2390994,22.2796362
C0801,聖公會李福慶中學,東區,SKH Li Fook Hing Secondary School,EASTERN DISTRICT,57,113,876,223,741,23,327,489,14,403,42,16,284,325,715,4648,114.2399336,22.2684249
C0901,福建中學(小西灣),東區,Fukien Secondary School (Siu Sai Wan),EASTERN DISTRICT,246,125,1123,367,459,42,339,800,41,637,19,26,674,570,631,6099,114.2507983,22.2649192
C1001,小西灣社區會堂,東區,Siu Sai Wan Community Hall,EASTERN DISTRICT,137,205,666,283,467,23,508,696,15,540,24,29,402,505,1257,5757,114.2495013,22.2633686
C1101,嶺南衡怡紀念中學,東區,Lingnan Hang Yee Memorial Secondary School,EASTERN DISTRICT,191,218,1000,380,444,54,551,919,18,755,28,29,582,660,1167,6996,114.2511698,22.263466
C1201,救世軍中原慈善基金學校,東區,The Salvation Army Centaline Charity Fund School,EASTERN DISTRICT,38,178,467,260,786,27,459,556,17,409,24,24,318,355,568,4486,114.2375405,22.2620227
C1301,文理書院(香港),東區,Cognitio College (Hong Kong),EASTERN DISTRICT,68,132,489,192,494,33,349,536,8,380,21,17,350,600,989,4658,114.2337094,22.262039
C1401,鰂魚涌體育館,東區,Quarry Bay Sports Centre,EASTERN DISTRICT,124,125,767,320,1029,35,295,743,24,603,4,20,638,455,805,5987,114.211779,22.283694
C1501,閩僑中學,東區,Man Kiu College,EASTERN DISTRICT,242,43,1150,191,433,38,141,546,23,505,2,33,558,410,379,4694,114.1999941,22.2873209
C1601,金文泰中學,東區,Clementi Secondary School,EASTERN DISTRICT,184,47,727,213,318,16,180,566,25,466,2,18,541,464,432,4199,114.1948854,22.2875162
C1701,銅鑼灣社區中心,東區,Causeway Bay Community Centre,EASTERN DISTRICT,58,25,347,104,165,21,126,333,5,248,4,14,263,263,582,2558,114.1910772,22.2884654
C1801,渣華道體育館,東區,Java Road Sports Centre,EASTERN DISTRICT,96,99,488,202,477,44,308,549,29,403,6,16,389,428,1917,5451,114.199478,22.292286
C1802,顯理中學,東區,Henrietta Secondary School,EASTERN DISTRICT,229,109,1007,371,563,56,394,956,31,783,6,32,863,711,2197,8308,114.194421,22.2916871
C1901,北角衞理小學,東區,North Point Methodist Primary School,EASTERN DISTRICT,79,59,424,165,291,22,154,408,26,265,1,25,346,319,587,3171,114.1959826,22.2890901
C2001,香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,東區,HKPA Jockey Club North Point Island Place Integrated Service Centre for Children and Youth,EASTERN DISTRICT,70,34,431,109,146,20,92,299,8,217,4,10,243,285,284,2252,114.202643,22.290972
C2101,啟基學校(港島),東區,Chan's Creative School (Hong Kong Island),EASTERN DISTRICT,134,89,977,310,436,32,311,828,30,524,7,30,553,849,934,6044,114.2026644,22.291978
C2201,丹拿山循道學校,東區,"Chinese Methodist School, Tanner Hill",EASTERN DISTRICT,65,46,465,145,352,32,183,385,18,250,5,24,275,340,377,2962,114.2051491,22.2907361
C2301,北角官立小學,東區,North Point Government Primary School,EASTERN DISTRICT,83,74,448,207,630,19,250,534,16,349,3,30,333,351,407,3734,114.2095609,22.2887759
C2401,鰂魚涌社區會堂,東區,Quarry Bay Community Hall,EASTERN DISTRICT,177,129,1073,302,543,32,305,865,21,566,3,26,877,578,396,5893,114.2139985,22.28375
C2501,佛教中華康山學校,東區,Buddhist Chung Wah Kornhill Primary School,EASTERN DISTRICT,151,57,1015,192,198,19,172,548,23,427,4,10,528,577,227,4148,114.2138335,22.2809532
C2601,太古小學,東區,Taikoo Primary School,EASTERN DISTRICT,249,106,1464,342,432,36,363,1046,45,630,9,27,759,892,431,6831,114.2148551,22.2839304
C2701,青松興東幼稚園,東區,Ching Chung Hing Tung Kindergarten,EASTERN DISTRICT,45,71,398,405,162,31,329,452,9,269,5,14,198,251,985,3624,114.2198321,22.281684
C2702,伊斯蘭徐錦享紀念幼稚園,東區,Islamic Abu Bakar Chui Memorial Kindergarten,EASTERN DISTRICT,90,75,551,369,179,27,253,480,17,333,6,20,327,345,669,3741,114.217933,22.279862
C2801,西灣河體育館,東區,Sai Wan Ho Sports Centre,EASTERN DISTRICT,152,135,1326,915,422,37,488,1001,35,560,13,34,527,592,898,7135,114.2227922,22.2825488
C2901,勵志會梁李秀娛紀念小學,東區,The Endeavourers Leung Lee Sau Yu Memorial Primary School,EASTERN DISTRICT,53,100,481,255,619,24,343,605,14,311,10,27,331,328,676,4177,114.2269294,22.2763586
C2902,筲箕灣街坊福利事務促進會有限公司,東區,Shau Kei Wan Kai-fong Welfare Advancement Association Ltd.,EASTERN DISTRICT,33,72,296,180,257,16,230,391,9,188,4,12,193,231,306,2418,114.2259774,22.2800174
C3001,循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊(耀東服務處),東區,"Methodist Epworth Village Community Centre, Social Welfare - Epworth Integrated Youth Team (Yiu Tung Base)",EASTERN DISTRICT,32,82,226,195,208,25,373,434,10,185,5,13,195,201,1063,3247,114.2234685,22.2786251
C3101,粵南信義會腓力堂興民幼兒學園,東區,Lutheran Philip House Hing Man Nursery School,EASTERN DISTRICT,41,96,287,130,539,26,198,333,6,216,9,14,225,201,317,2638,114.233008,22.267778
C3102,路德會聖雅各幼稚園,東區,St. James Lutheran Kindergarten,EASTERN DISTRICT,23,98,232,134,595,17,273,290,9,163,19,22,179,171,455,2680,114.235207,22.261894
C3201,天主教明德學校,東區,Meng Tak Catholic School,EASTERN DISTRICT,129,97,704,249,322,21,294,619,17,412,7,20,400,409,483,4183,114.2362171,22.2684421
C3301,柴灣母嬰健康院,東區,Chai Wan Maternal and Child Health Centre,EASTERN DISTRICT,87,63,481,150,226,21,186,370,19,295,6,13,277,291,278,2763,114.237294,22.264079
C3401,漁灣社區會堂,東區,Yue Wan Community Hall,EASTERN DISTRICT,118,213,810,390,1201,45,663,1074,22,588,117,23,629,555,1005,7453,114.24105,22.265622
C3501,香港中華基督教青年會 - 柴灣會所,東區,Chinese YMCA of Hong Kong - Chai Wan Centre,EASTERN DISTRICT,77,116,488,162,440,20,350,444,9,315,18,23,236,257,472,3427,114.2484765,22.2613638
