Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,list21,list22,total,long,lat
R0101,沙田大會堂,沙田區,Sha Tin Town Hall,SHA TIN DISTRICT,231,653,7,201,359,509,562,145,179,618,12,265,126,233,5,13,24,424,323,1,262,220,5372,114.189895,22.381263
R0102,沙田官立中學,沙田區,Sha Tin Government Secondary School,SHA TIN DISTRICT,77,96,1,49,64,144,98,29,42,111,1,80,41,49,1,2,0,85,83,0,80,29,1162,114.184668,22.376491
R0201,瀝源社區會堂,沙田區,Lek Yuen Community Hall,SHA TIN DISTRICT,166,211,6,209,354,322,326,43,115,447,56,148,228,137,6,20,36,383,235,3,601,144,4196,114.191115,22.385352
R0301,禾輋社區會堂,沙田區,Wo Che Community Hall,SHA TIN DISTRICT,145,374,3,240,440,458,506,35,134,1075,151,147,413,168,9,24,74,547,406,4,176,158,5687,114.1948267,22.3881686
R0401,浸信會呂明才小學,沙田區,Baptist Lui Ming Choi Primary School,SHA TIN DISTRICT,328,542,4,247,345,838,862,280,207,501,12,333,148,285,2,22,22,599,338,3,564,155,6637,114.2022653,22.3879673
R0501,五旬節林漢光中學,沙田區,Pentecostal Lam Hon Kwong School,SHA TIN DISTRICT,255,433,7,221,341,680,746,217,163,395,3,259,144,251,3,11,17,494,307,1,836,161,5945,114.2023548,22.3846465
R0601,慈航學校,沙田區,Chi Hong Primary School,SHA TIN DISTRICT,138,223,4,139,197,310,312,51,122,271,6,186,111,142,5,12,23,301,193,1,163,104,3014,114.197058,22.382031
R0602,富豪花園商場一樓富豪橋有蓋走廊,沙田區,Belair Gardens Shopping Arcade 1/F Footbridge,SHA TIN DISTRICT,108,213,6,113,147,271,296,79,73,327,5,200,82,84,2,8,10,198,142,3,193,123,2683,114.198791,22.384997
R0701,佛教覺光法師中學,沙田區,Buddhist Kok Kwong Secondary School,SHA TIN DISTRICT,161,288,7,219,399,424,385,32,406,414,15,124,382,280,9,12,39,386,322,4,968,176,5452,114.1940715,22.3796208
R0801,博康社區會堂,沙田區,Pok Hong Community Hall,SHA TIN DISTRICT,161,421,6,217,438,473,466,52,595,393,18,111,354,364,9,22,28,488,358,3,1049,177,6203,114.194513,22.375577
R0901,沙田圍胡素貞博士紀念學校,沙田區,Sha Tin Wai Dr. Catherine F. Woo Memorial School,SHA TIN DISTRICT,188,296,5,244,379,370,447,45,786,506,31,142,379,415,15,19,31,440,351,5,757,192,6043,114.1912609,22.37548
R1001,秦石社區會堂,沙田區,Chun Shek Community Hall,SHA TIN DISTRICT,231,938,9,236,435,484,439,67,152,477,35,179,255,215,8,38,41,465,304,3,843,199,6053,114.186673,22.373012
R1101,新田圍社區會堂,沙田區,Sun Tin Wai Community Hall,SHA TIN DISTRICT,143,328,4,156,234,243,228,25,86,229,8,86,513,108,6,9,28,240,186,3,177,96,3136,114.185943,22.370197
R1201,九龍城浸信會禧年 (恩平) 小學,沙田區,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,SHA TIN DISTRICT,289,449,8,314,509,718,630,80,241,556,41,291,386,596,3,20,22,527,418,4,752,210,7064,114.18206,22.368808
R1301,香港中文大學校友會聯會張煊昌學校,沙田區,CUHK FAA Thomas Cheung School,SHA TIN DISTRICT,105,175,2,96,128,209,205,30,75,136,3,72,68,96,4,9,11,191,145,1,206,71,2038,114.172507,22.360732
R1302,顯徑體育館,沙田區,Hin Keng Sports Centre,SHA TIN DISTRICT,169,430,5,195,361,430,432,39,139,320,11,140,255,159,3,20,34,432,266,4,616,181,4641,114.171327,22.363197
R1401,美田社區會堂,沙田區,Mei Tin Community Hall,SHA TIN DISTRICT,166,220,7,229,319,332,370,40,109,442,13,118,321,114,3,21,15,355,324,2,829,139,4488,114.1724997,22.3762344
