Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,list21,list22,total,long,lat
R1501,東莞工商總會劉百樂中學,沙田區,GCCITKD Lau Pak Lok Secondary School,SHA TIN DISTRICT,245,320,2,121,205,379,371,98,118,362,7,280,104,190,1,8,10,295,204,0,450,114,3884,114.175488,22.372677
R1601,顯徑鄰里社區中心,沙田區,Hin Keng Neighbourhood Community Centre,SHA TIN DISTRICT,285,620,14,270,435,586,592,84,197,455,25,268,318,246,7,20,35,528,394,6,999,228,6612,114.1747404,22.3665485
R1602,才俊學校,沙田區,Choi Jun School,SHA TIN DISTRICT,67,139,2,47,68,139,148,44,43,186,5,102,35,53,1,3,6,93,62,1,155,75,1474,114.176827,22.363492
R1701,隆亨社區中心,沙田區,Lung Hang Estate Community Centre,SHA TIN DISTRICT,189,258,5,225,363,402,362,25,106,304,77,127,300,218,4,10,23,370,306,3,868,106,4651,114.179629,22.367668
R1801,東莞工商總會張煌偉小學,沙田區,GCCITKD Cheong Wong Wai Primary School,SHA TIN DISTRICT,293,273,8,228,386,437,373,38,170,489,26,172,344,777,10,2,19,374,325,2,541,163,5450,114.180164,22.37165
R1901,佛教黃允畋中學,沙田區,Buddhist Wong Wan Tin College,SHA TIN DISTRICT,226,329,5,202,354,478,524,48,178,1942,10,124,337,393,1,14,23,379,361,3,140,78,6149,114.1782075,22.3777601
R1902,大圍村村公所,沙田區,Tai Wai Village Office,SHA TIN DISTRICT,75,53,2,56,76,96,106,16,30,156,14,47,45,51,0,3,5,104,68,0,60,33,1096,114.178626,22.375941
R2001,樂道中學,沙田區,Lock Tao Secondary School,SHA TIN DISTRICT,221,317,10,166,252,429,436,70,171,594,5,190,179,223,1,14,26,309,294,2,523,105,4537,114.1775983,22.3780706
R2002,基督教香港信義會沙田信義幼稚園,沙田區,ELCHK Shatin Lutheran Kindergarten,SHA TIN DISTRICT,18,37,1,17,27,50,55,18,18,107,11,52,9,13,0,0,1,49,27,1,53,30,594,114.180824,22.378516
R2101,保良局蕭漢森小學,沙田區,PLK Siu Hon Sum Primary School,SHA TIN DISTRICT,212,441,10,196,318,488,789,115,142,935,17,269,129,192,2,20,30,435,239,1,252,153,5385,114.194892,22.393402
R2201,賽馬會體藝中學,沙田區,Jockey Club Ti-I College,SHA TIN DISTRICT,180,327,4,154,273,541,537,194,137,664,29,356,132,185,0,10,42,428,229,0,457,176,5055,114.197761,22.392119
R2301,香港中文大學富爾敦樓,沙田區,"John Fulton Centre, The Chinese University of Hong Kong",SHA TIN DISTRICT,39,86,0,24,71,136,81,30,30,132,8,91,34,46,0,3,1,60,48,1,121,55,1097,114.204594,22.418321
R2302,仁愛堂香港台山商會長者活動中心,沙田區,Yan Oi Tong H.K. Toi Shan Association Elderly Centre,SHA TIN DISTRICT,135,298,8,84,134,380,373,155,112,421,3,292,84,145,1,10,12,205,123,0,298,147,3420,114.201943,22.399538
R2401,宣道會台山陳元喜小學,沙田區,Christian Alliance Toi Shan H. C. Chan Primary School,SHA TIN DISTRICT,192,442,20,253,412,1022,594,134,211,1815,9,330,204,240,3,22,24,527,646,2,277,148,7527,114.225903,22.420447
R2501,香港中文大學校友會聯會陳震夏中學,沙田區,CUHKFAA Chan Chun Ha Secondary School,SHA TIN DISTRICT,250,521,11,266,476,1009,680,111,222,1820,7,306,236,262,6,33,23,583,539,3,207,220,7791,114.2264306,22.4234676
R2601,香港道教聯合會純陽小學,沙田區,Hong Kong Taoist Association Shun Yeung Primary School ,SHA TIN DISTRICT,262,441,18,222,357,846,704,243,212,769,5,464,215,285,5,17,27,550,317,1,352,234,6546,114.2284805,22.426424
R2801,明愛馬鞍山中學,沙田區,Caritas Ma On Shan Secondary School,SHA TIN DISTRICT,245,807,24,307,473,855,813,193,273,805,14,473,302,330,7,22,37,739,554,1,1178,242,8694,114.2390033,22.4254188
R2901,利安社區會堂,沙田區,Lee On Community Hall,SHA TIN DISTRICT,313,698,13,406,584,1003,948,162,291,1493,17,495,392,374,8,17,55,952,721,1,547,256,9746,114.241011,22.427416
R3001,吳氏宗親總會泰伯紀念學校,沙田區,Ng Clan's Association Tai Pak Memorial School,SHA TIN DISTRICT,129,344,9,171,249,425,451,66,122,786,6,164,212,135,1,22,24,414,301,1,304,89,4425,114.235028,22.42141
R3002,東華三院黃鳳翎中學,沙田區,TWGHs Wong Fung Ling College,SHA TIN DISTRICT,102,233,9,98,139,317,301,77,98,358,3,157,76,117,3,9,17,220,165,0,127,109,2735,114.234181,22.4235073
R3101,保良局莊啟程小學,沙田區,PLK Chong Kee Ting Primary School,SHA TIN DISTRICT,233,541,15,334,533,875,693,70,193,1490,8,187,328,238,4,14,30,731,558,2,197,262,7536,114.231701,22.419694
R3201,馬鞍山聖若瑟小學,沙田區,Ma On Shan St. Joseph's Primary School,SHA TIN DISTRICT,142,563,9,185,364,522,392,39,124,558,2,115,567,156,4,20,21,419,306,1,162,201,4872,114.230614,22.417032
R3202,恒安社區中心,沙田區,Heng On Estate Community Centre,SHA TIN DISTRICT,105,315,2,131,262,332,321,49,121,384,5,105,377,123,2,8,15,330,190,1,120,118,3416,114.2268522,22.4172628
R3301,德信中學,沙田區,Tak Sun Secondary School,SHA TIN DISTRICT,201,496,4,255,404,829,757,126,247,1450,12,337,138,310,1,17,19,586,319,0,198,157,6863,114.2220069,22.4105078
R3401,聖公會馬鞍山主風小學,沙田區,SKH Ma On Shan Holy Spirit Primary School,SHA TIN DISTRICT,209,462,10,293,412,699,598,64,222,1297,17,295,182,238,5,23,26,454,413,1,287,116,6323,114.220265,22.407226
R3402,基督教香港信義會馬鞍山信義學校,沙田區,The ELCHK Ma On Shan Lutheran Primary School,SHA TIN DISTRICT,41,77,1,43,81,116,98,10,29,376,2,28,148,54,3,9,6,87,90,1,50,21,1371,114.228332,22.415198
R3501,林大輝中學,沙田區,Lam Tai Fai College,SHA TIN DISTRICT,228,396,11,283,379,685,696,120,239,464,37,246,173,293,5,23,26,544,295,1,964,212,6320,114.2030592,22.381603
R3601,路德會梁鉅鏐小學,沙田區,Leung Kui Kau Lutheran Primary School,SHA TIN DISTRICT,216,475,6,154,274,558,525,122,164,825,6,268,107,220,1,12,17,398,225,0,224,121,4918,114.2058048,22.3922521
R3602,香港浸會大學附屬學校王錦輝中小學,沙田區,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,SHA TIN DISTRICT,39,47,3,49,68,57,84,6,24,483,5,21,59,37,1,7,9,82,64,0,36,33,1214,114.209687,22.387244
R3701,世界龍岡學校黃耀南小學,沙田區,LKWFSL Wong Yiu Nam Primary School,SHA TIN DISTRICT,211,466,12,282,395,814,763,146,210,1085,55,256,193,231,6,20,22,461,388,2,622,154,6794,114.214924,22.382325
R3801,廣源社區會堂,沙田區,Kwong Yuen Community Hall,SHA TIN DISTRICT,136,229,8,233,393,564,456,29,124,394,22,113,222,133,5,18,12,481,369,1,946,173,5061,114.214575,22.3807595
