Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,total,long,lat
F0101,保安道體育館,深水埗區,Po On Road Sports Centre,SHAM SHUI PO DISTRICT,125,4,463,681,375,15,387,321,10,783,17,562,373,17,193,4326,114.157626,22.338648
F0201,福榮街官立小學,深水埗區,Fuk Wing Street Government Primary School,SHAM SHUI PO DISTRICT,130,3,541,655,228,16,429,357,9,620,14,653,351,21,200,4227,114.159627,22.333956
F0301,英華女學校,深水埗區,Ying Wa Girls' School,SHAM SHUI PO DISTRICT,113,5,310,328,148,12,299,212,6,844,8,410,285,10,108,3098,114.1471858,22.2826201
F0401,石硤尾社區會堂,深水埗區,Shek Kip Mei Community Hall,SHAM SHUI PO DISTRICT,225,8,343,2104,758,14,425,268,10,428,12,626,286,19,150,5676,114.1659045,22.3325433
F0501,基督教香港崇真會安康幼兒學校,深水埗區,Tsung Tsin Mission of Hong Kong On Hong Nursery School,SHAM SHUI PO DISTRICT,101,6,365,386,409,14,299,253,11,775,12,483,318,14,102,3548,114.167114,22.328552
F0601,深水埔街坊福利事務促進會,深水埗區,Shamshuipo Kaifong Welfare Advancement Association,SHAM SHUI PO DISTRICT,91,8,387,433,135,9,313,328,9,667,14,485,297,7,151,3334,114.1650221,22.3274069
F0701,北河街體育館,深水埗區,Pei Ho Street Sports Centre,SHAM SHUI PO DISTRICT,84,9,230,236,86,5,179,176,10,817,13,301,197,14,66,2423,114.161121,22.329245
F0801,南昌社區中心,深水埗區,Nam Cheong District Community Centre,SHAM SHUI PO DISTRICT,128,6,394,539,509,8,310,275,11,708,14,528,308,8,128,3874,114.1574969,22.3271447
F0901,英華書院,深水埗區,Ying Wa College,SHAM SHUI PO DISTRICT,129,5,355,2206,810,15,542,199,7,399,17,609,579,8,165,6045,114.152844,22.3298959
F1001,麗閣社區會堂,深水埗區,Lai Kok Community Hall,SHAM SHUI PO DISTRICT,102,8,478,567,602,13,395,342,14,1159,13,710,314,23,204,4944,114.157466,22.333965
F1101,旅港開平商會學校,深水埗區,Hoi Ping Chamber of Commerce Primary School,SHAM SHUI PO DISTRICT,80,9,277,296,514,7,237,207,11,1072,22,359,258,23,96,3468,114.153519,22.3343
F1201,聖公會聖馬利亞堂莫慶堯中學,深水埗區,SKH St. Mary's Church Mok Hing Yiu College,SHAM SHUI PO DISTRICT,150,13,478,569,1505,17,457,355,13,1323,20,787,509,18,208,6422,114.148009,22.331513
F1301,美孚新邨孚佑堂,深水埗區,Mei Foo Sun Chuen Community Centre,SHAM SHUI PO DISTRICT,123,6,1001,841,65,9,289,595,11,1290,31,855,342,3,415,5876,114.1411797,22.3358773
F1401,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,深水埗區,POH Mei Foo Lai Wan Kaifong Association Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre,SHAM SHUI PO DISTRICT,106,2,911,743,55,9,300,510,11,858,16,778,300,14,291,4904,114.1396351,22.3371956
F1501,荔枝角公園體育館,深水埗區,Lai Chi Kok Park Sports Centre,SHAM SHUI PO DISTRICT,117,7,1000,846,72,8,351,559,12,955,18,863,307,12,350,5477,114.1382687,22.340693
F1601,荔枝角社區會堂,深水埗區,Lai Chi Kok Community Hall,SHAM SHUI PO DISTRICT,85,6,807,1035,101,9,317,1034,7,665,22,945,318,5,435,5791,114.148004,22.333982
F1701,五邑工商總會學校,深水埗區,Five Districts Business Welfare Association School,SHAM SHUI PO DISTRICT,95,3,291,455,222,7,204,213,7,459,6,412,224,3,114,2715,114.154512,22.34101
F1801,長沙灣體育館,深水埗區,Cheung Sha Wan Sports Centre,SHAM SHUI PO DISTRICT,154,7,424,348,502,14,522,388,12,2061,17,664,355,31,135,5634,114.153473,22.337965
F1901,長沙灣社區中心,深水埗區,Cheung Sha Wan Community Centre,SHAM SHUI PO DISTRICT,146,4,528,1217,710,13,398,290,18,481,16,689,327,23,125,4985,114.1586912,22.3399885
F2001,白田社區會堂,深水埗區,Pak Tin Community Hall,SHAM SHUI PO DISTRICT,168,7,320,802,362,12,350,215,17,483,14,613,307,18,245,3933,114.1673508,22.3351345
F2101,聖母玫瑰書院,深水埗區,Our Lady of The Rosary College,SHAM SHUI PO DISTRICT,80,4,576,670,126,4,181,433,8,628,15,660,205,7,351,3948,114.1726381,22.3330251
F2201,大坑東社區中心,深水埗區,Tai Hang Tung Community Centre,SHAM SHUI PO DISTRICT,83,2,296,1086,1702,12,325,160,6,382,10,482,240,9,134,4929,114.1702471,22.3305286
F2301,白田天主教小學,深水埗區,Pak Tin Catholic Primary School,SHAM SHUI PO DISTRICT,62,3,168,404,265,4,190,99,3,243,3,298,162,7,127,2038,114.1687175,22.3377932
F2302,香港城市大學澤安中心,深水埗區,"Chak On Centre, City University of Hong Kong",SHAM SHUI PO DISTRICT,46,6,328,646,436,4,115,212,3,330,12,321,144,4,140,2747,114.1642326,22.3403545
