Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,total,long,lat
L0101,屯門市中心社區會堂,屯門區,Tuen Mun Town Centre Community Hall,TUEN MUN DISTRICT,54,152,4,6,244,0,269,192,160,187,110,154,43,140,99,79,1,2,10,368,2274,113.9759358,22.3920295
L0102,青山天主教小學,屯門區,Castle Peak Catholic Primary School,TUEN MUN DISTRICT,25,100,3,1,155,3,215,147,160,126,73,81,24,93,50,63,5,0,4,206,1534,113.97491,22.3948025
L0201,保良局香港道教聯合會圓玄小學,屯門區,PLK HKTA Yuen Yuen Primary School,TUEN MUN DISTRICT,94,626,15,5,602,5,718,335,689,327,211,241,83,242,159,138,12,8,18,870,5398,113.9803177,22.3866214
L0202,仁愛堂劉皇發夫人小學,屯門區,Yan Oi Tong Madam Lau Wong Fat Primary School,TUEN MUN DISTRICT,43,221,3,3,280,0,369,200,221,250,151,148,28,175,137,90,8,2,4,504,2837,113.9772655,22.3896689
L0301,深培中學,屯門區,Semple Memorial Secondary School,TUEN MUN DISTRICT,54,286,5,1,326,1,321,168,640,203,150,183,49,214,133,54,5,2,8,478,3281,113.977948,22.3843302
L0302,青松侯寶垣中學,屯門區,Ching Chung Hau Po Woon Secondary School,TUEN MUN DISTRICT,28,157,1,2,114,0,181,70,156,129,88,83,14,67,63,34,8,1,2,283,1481,113.9724187,22.3827083
L0401,安定/友愛社區中心,屯門區,On Ting/Yau Oi Community Centre,TUEN MUN DISTRICT,63,159,4,3,393,2,249,166,214,156,168,207,46,854,357,82,12,6,9,433,3583,113.9764708,22.3874546
L0402,聖公會青山聖彼得堂兆麟苑幼稚園,屯門區,SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten,TUEN MUN DISTRICT,27,145,1,6,144,0,218,85,300,103,81,68,22,144,96,38,3,1,4,218,1704,113.976499,22.384613
L0501,順德聯誼總會譚伯羽中學,屯門區,STFA Tam Pak Yu College,TUEN MUN DISTRICT,51,155,6,8,415,2,274,247,909,160,234,453,52,210,109,65,3,5,12,544,3914,113.9724187,22.3875966
L0601,伊斯蘭學校,屯門區,Islamic Primary School,TUEN MUN DISTRICT,55,140,5,7,376,1,215,224,526,129,197,388,44,197,77,61,12,3,14,452,3123,113.9725117,22.3887169
L0602,仁濟醫院何式南小學,屯門區,YCH Ho Sik Nam Primary School,TUEN MUN DISTRICT,61,303,6,8,354,2,382,182,649,272,186,237,53,245,110,75,5,8,9,600,3747,113.9717682,22.3849924
L0701,馬錦明慈善基金馬可賓紀念中學,屯門區,Stewards MKMCF Ma Ko Pan Memorial College,TUEN MUN DISTRICT,101,385,6,7,608,2,1313,372,285,530,316,320,93,260,217,113,9,7,13,951,5908,113.9738646,22.4010251
L0801,山景社區會堂,屯門區,Shan King Community Hall,TUEN MUN DISTRICT,103,325,7,14,599,4,479,332,455,271,297,290,89,367,203,136,21,15,16,719,4742,113.965556,22.396389
L0901,大興社區會堂,屯門區,Tai Hing Community Hall,TUEN MUN DISTRICT,32,182,5,2,271,2,254,115,153,102,159,157,42,861,64,48,12,4,11,254,2730,113.9704007,22.4035463
L0902,仁愛堂陳黃淑芳紀念中學,屯門區,Yan Oi Tong Chan Wong Suk Fong Memorial Secondary School,TUEN MUN DISTRICT,27,63,3,1,97,0,86,47,120,50,56,69,7,227,45,30,5,2,4,99,1038,113.9668429,22.4020876
L1001,大興體育館,屯門區,Tai Hing Sports Centre,TUEN MUN DISTRICT,78,441,6,9,620,2,498,230,239,258,212,262,78,1263,171,94,12,8,25,615,5121,113.9732551,22.4032655
L1101,中華基督教會譚李麗芬紀念中學,屯門區,CCC Tam Lee Lai Fun Memorial Secondary School,TUEN MUN DISTRICT,27,96,2,0,142,1,130,121,106,64,35,44,26,94,21,33,3,1,6,177,1129,113.9771146,22.4030632
L1102,井財街社區會堂,屯門區,Tseng Choi Street Community Hall,TUEN MUN DISTRICT,30,162,3,2,285,4,220,526,183,136,111,98,40,155,70,56,9,0,7,331,2428,113.9774834,22.4002024
L1201,救世軍三聖邨劉伍英學校,屯門區,The Salvation Army Sam Shing Chuen Lau Ng Ying School,TUEN MUN DISTRICT,60,261,4,5,361,3,916,181,246,240,136,136,43,153,123,104,13,4,14,469,3472,113.9777575,22.382631
L1202,海關訓練學校,屯門區,Customs and Excise Training School,TUEN MUN DISTRICT,18,72,2,2,67,0,257,101,59,108,44,39,16,38,21,73,3,2,4,143,1069,114.020623,22.362423
L1301,入境事務學院,屯門區,Immigration Service Institute of Training and Development,TUEN MUN DISTRICT,16,155,3,3,109,2,234,141,135,173,77,49,16,46,34,57,1,1,5,226,1483,113.9862186,22.3760519
L1302,保良局西區婦女福利會馮李佩瑤小學,屯門區,PLK Women's Welfare Club Western District Fung Lee Pui Yiu Primary School,TUEN MUN DISTRICT,56,397,4,22,292,0,891,406,239,456,187,128,52,164,134,215,14,2,7,572,4238,113.9953676,22.3738203
L1401,新屯門中心社區中心,屯門區,Community Centre of Sun Tuen Mun Centre,TUEN MUN DISTRICT,140,389,7,4,684,4,1610,374,473,497,317,307,73,321,191,131,12,10,13,988,6545,113.9643827,22.3812408
L1501,南屯門官立中學,屯門區,South Tuen Mun Government Secondary School,TUEN MUN DISTRICT,88,303,2,8,539,5,445,596,824,300,198,240,65,243,329,105,8,9,17,757,5081,113.9691795,22.373355
L1601,世界龍岡學校劉德容紀念小學,屯門區,LKWFS Lau Tak Yung Memorial Primary School,TUEN MUN DISTRICT,72,495,4,4,601,2,658,572,573,401,231,279,89,287,532,110,13,13,14,983,5933,113.9684227,22.3731204
L1701,東華三院辛亥年總理中學,屯門區,TWGHs Sun Hoi Directors' College,TUEN MUN DISTRICT,65,209,1,3,460,2,184,212,677,160,156,199,55,245,180,49,5,4,13,499,3378,113.9651702,22.3756371
L1801,五邑鄒振猷學校,屯門區,FDBWA Chow Chin Yau School,TUEN MUN DISTRICT,32,162,2,2,238,0,229,205,141,144,106,108,30,155,211,44,7,4,4,342,2166,113.962822,22.377957
L1802,蝴蝶灣社區中心,屯門區,Butterfly Bay Community Centre,TUEN MUN DISTRICT,37,164,1,5,254,2,216,240,656,106,128,141,33,338,269,43,7,6,15,273,2934,113.962002,22.374855
L1901,香港路德會增城兆霖學校,屯門區,Lutheran Tsang Shing Siu Leun School,TUEN MUN DISTRICT,35,365,1,4,278,4,281,845,146,195,108,104,32,102,117,67,5,3,7,444,3143,113.961424,22.375482
L1902,龍鼓灘村公所,屯門區,Lung Kwu Tan Village Office,TUEN MUN DISTRICT,7,35,0,2,52,0,173,62,11,20,19,19,5,14,6,5,1,0,1,34,466,113.9193051,22.3943574
L2001,龍逸社區會堂,屯門區,Lung Yat Community Hall,TUEN MUN DISTRICT,95,216,5,5,494,1,641,232,733,292,237,224,63,265,144,126,15,2,18,624,4432,113.967631,22.38623
L2002,仁濟醫院第二中學,屯門區,YCH No.2 Secondary School,TUEN MUN DISTRICT,3,12,1,0,39,2,72,55,44,28,22,14,2,20,11,8,1,0,0,52,386,113.9661924,22.3895317
L2101,香港紅卍字會屯門卍慈小學,屯門區,HKRSS Tuen Mun Primary School,TUEN MUN DISTRICT,68,928,7,4,509,1,405,209,460,246,183,237,99,368,93,134,9,7,19,742,4728,113.961391,22.404035
L2201,良景社區中心,屯門區,Leung King Community Centre,TUEN MUN DISTRICT,86,381,1,6,605,8,370,240,840,237,211,255,102,320,114,103,11,4,17,776,4687,113.963882,22.40766
L2301,柏立基教育學院校友會何壽基學校,屯門區,SRBCEPSA Ho Sau Ki School,TUEN MUN DISTRICT,116,426,4,8,674,1,404,245,391,293,269,299,104,1054,137,107,12,8,22,893,5467,113.9667455,22.4055578
L2401,保良局志豪小學,屯門區,PLK Horizon East Primary School,TUEN MUN DISTRICT,43,133,2,4,190,3,1115,187,241,92,155,128,35,175,55,73,6,3,14,241,2895,113.96675,22.4112681
L2402,屯門紫田村村公所,屯門區,Tuen Mun Tsz Tin Tsuen Village Office,TUEN MUN DISTRICT,17,62,2,0,93,1,226,123,90,66,47,24,23,47,16,21,3,1,4,178,1044,113.976991,22.414116
L2501,建生社區會堂,屯門區,Kin Sang Community Hall,TUEN MUN DISTRICT,110,319,4,13,629,3,546,238,946,300,281,288,84,316,181,112,18,10,26,961,5385,113.9694548,22.4071895
L2601,屯門官立小學,屯門區,Tuen Mun Government Primary School,TUEN MUN DISTRICT,88,648,6,3,455,2,533,201,969,338,213,203,53,228,166,131,4,4,14,837,5096,113.9771696,22.4132695
L2701,聖公會蒙恩小學,屯門區,SKH Mung Yan Primary School,TUEN MUN DISTRICT,86,598,5,4,511,5,613,335,262,344,216,175,65,268,162,118,7,6,18,836,4634,113.9802565,22.4044763
L2702,興德學校,屯門區,Hing Tak School,TUEN MUN DISTRICT,28,196,3,11,137,1,273,121,99,190,109,83,20,96,74,58,10,3,4,350,1866,113.9819758,22.4109021
