Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,total,long,lat
B0101,軒尼詩道官立小學,灣仔區,Hennessy Road Government Primary School,WAN CHAI DISTRICT,84,50,501,142,337,37,185,419,8,304,3,29,269,293,311,2972,114.1756812,22.2775728
B0201,鄧肇堅維多利亞官立中學,灣仔區,Tang Shiu Kin Victoria Government Secondary School,WAN CHAI DISTRICT,51,57,395,180,442,22,180,357,12,273,3,19,291,268,228,2778,114.1791412,22.2768753
B0301,前灣仔學校,灣仔區,Former Wanchai School,WAN CHAI DISTRICT,120,66,644,190,680,32,190,511,20,365,4,31,422,409,310,3994,114.1798379,22.276722
B0401,皇仁書院,灣仔區,Queen's College,WAN CHAI DISTRICT,139,57,838,257,513,28,251,668,25,420,2,32,503,536,523,4792,114.1913558,22.2814465
B0501,港島兒童蒙特梭利學校,灣仔區,Island Children's Montessori School,WAN CHAI DISTRICT,41,8,207,37,82,6,30,128,5,129,0,7,123,120,64,987,114.1933761,22.2831115
B0502,勵德邨邨榮樓有蓋停車場,灣仔區,"Covered Carpark of Tsuen Wing Lau, Lai Tak Tsuen",WAN CHAI DISTRICT,63,49,832,120,116,14,134,281,6,170,1,12,237,214,295,2544,114.1944325,22.2779178
B0601,灣仔區文娛康樂體育會,灣仔區,"Wan Chai District Arts, Cultural, Recreational & Sports Association",WAN CHAI DISTRICT,64,28,437,103,228,20,136,400,14,249,0,38,267,232,303,2519,114.1894987,22.2801378
B0701,港灣婦女會,灣仔區,Wan Chai District Women's Association,WAN CHAI DISTRICT,115,50,821,214,213,33,174,546,18,316,3,19,411,392,229,3554,114.1890613,22.2795036
B0801,中華基督教會公理高中書院,灣仔區,CCC Kung Lee College,WAN CHAI DISTRICT,206,35,1140,129,357,31,67,379,21,390,1,31,432,329,283,3831,114.1940887,22.274712
B0901,禮頓山社區會堂,灣仔區,Leighton Hill Community Hall,WAN CHAI DISTRICT,147,64,983,136,395,36,124,410,9,391,3,33,421,328,231,3711,114.1832747,22.2753088
B1001,黃泥涌體育館,灣仔區,Wong Nai Chung Sports Centre,WAN CHAI DISTRICT,93,46,734,132,270,40,97,453,9,303,3,36,345,386,146,3093,114.185765,22.2689676
B1101,寶血小學,灣仔區,Precious Blood Primary School,WAN CHAI DISTRICT,36,4,205,35,68,12,25,69,8,80,0,14,74,80,45,755,114.1881048,22.266265
B1102,香港青少年服務處成和青少年中心,灣仔區,Hong Kong Children & Youth Services Sing Woo Children & Youth Centre,WAN CHAI DISTRICT,39,5,319,37,125,8,12,82,8,90,1,15,109,79,52,981,114.1868032,22.267364
B1201,灣仔郵政局,灣仔區,Wan Chai Post Office,WAN CHAI DISTRICT,92,62,579,120,284,27,117,352,15,278,2,30,336,289,199,2782,114.1727501,22.2742779
B1301,循道衛理中心,灣仔區,Methodist Centre,WAN CHAI DISTRICT,64,46,327,121,581,24,150,403,9,241,3,26,289,257,181,2722,114.1770864,22.278231
