Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,total,long,lat
S0101,中華傳道會許大同學校,葵青區,CNEC Ta Tung School,KWAI TSING DISTRICT,700,334,7,11,428,5,513,243,73,380,287,256,83,496,242,714,11,7,26,642,5458,114.1321074,22.3641135
S0201,基督教香港信義會葵盛信義學校,葵青區,ELCHK Kwai Shing Lutheran Primary School,KWAI TSING DISTRICT,1727,350,5,9,559,10,357,275,82,235,301,266,85,482,123,2084,24,9,28,622,7633,114.126407,22.362729
S0301,仁愛堂彭鴻樟幼稚園,葵青區,Yan Oi Tong Pang Hung Cheung Kindergarten,KWAI TSING DISTRICT,199,505,1,2,259,0,220,160,43,146,125,135,39,921,68,388,8,6,22,346,3593,114.122723,22.365967
S0401,佛教林炳炎紀念學校(香港佛教聯合會主辦),葵青區,Buddhist Lam Bing Yim Memorial School (Sponsored by the Hong Kong Buddhist Association),KWAI TSING DISTRICT,339,670,5,3,365,2,294,141,31,284,265,216,103,1027,132,512,17,5,52,505,4968,114.1233928,22.3695683
S0501,中華基督教會全完中學,葵青區,CCC Chuen Yuen College,KWAI TSING DISTRICT,1735,110,3,5,391,2,192,153,60,131,181,141,65,306,45,842,15,2,27,345,4751,114.126245,22.368124
S0601,中華基督教會全完幼稚園,葵青區,CCC Chuen Yuen Kindergarten,KWAI TSING DISTRICT,996,72,3,1,213,2,213,275,57,96,122,79,35,282,32,665,11,1,9,218,3382,114.127733,22.367447
S0602,聖公會林護紀念中學,葵青區,SKH Lam Woo Memorial Secondary School,KWAI TSING DISTRICT,565,53,1,1,169,3,80,44,16,51,80,75,28,170,24,250,5,1,13,149,1778,114.130469,22.365066
S0701,聖公會主愛小學,葵青區,SKH Chu Oi Primary School,KWAI TSING DISTRICT,293,1409,3,4,505,3,387,131,48,234,257,217,90,294,104,1733,11,8,31,585,6347,114.1397551,22.3708085
S0801,慈幼葉漢小學,葵青區,Salesian Yip Hon Primary School,KWAI TSING DISTRICT,186,709,4,8,376,4,333,88,48,241,235,247,59,1392,82,451,28,8,36,442,4977,114.141449,22.372258
S0901,石籬 (一) 邨室內活動室,葵青區,Shek Lei (I) Estate Indoor Activity Room,KWAI TSING DISTRICT,135,976,8,5,406,3,1342,192,55,203,238,210,53,199,96,529,20,11,24,488,5193,114.1383616,22.3637896
S1001,石籬社區會堂,葵青區,Shek Lei Community Hall,KWAI TSING DISTRICT,145,1889,2,4,606,5,457,200,82,200,239,265,101,317,73,1404,19,7,24,573,6612,114.139312,22.366509
S1101,香港道教聯合會圓玄學院第一中學,葵青區,HKTA The Yuen Yuen Institute No. 1 Secondary School,KWAI TSING DISTRICT,127,651,6,7,392,1,301,119,33,289,224,207,75,177,117,1816,7,4,12,517,5082,114.138095,22.366284
S1201,佛教林金殿紀念小學,葵青區,Buddhist Lim Kim Tian Memorial Primary School,KWAI TSING DISTRICT,1552,238,8,5,492,6,389,382,66,279,213,245,95,259,119,811,17,8,26,500,5710,114.129029,22.3585969
S1301,華景山莊北停車場地下會議室,葵青區,"G/F, Conference Room, Northern Car Park, Wonderland Villas  ",KWAI TSING DISTRICT,33,162,0,8,91,0,304,87,41,260,69,71,12,73,94,324,6,2,12,219,1868,114.13542,22.353657
S1302,迦密愛禮信中學,葵青區,Carmel Alison Lam Foundation Secondary School,KWAI TSING DISTRICT,19,51,0,2,12,2,101,28,12,81,31,32,2,34,33,92,3,3,2,58,598,114.1337168,22.3507421
S1303,東華三院高可寧紀念小學,葵青區,TWGHs Ko Ho Ning Memorial Primary School,KWAI TSING DISTRICT,72,139,1,6,221,1,163,117,33,164,143,134,42,354,76,299,8,5,6,298,2282,114.1298143,22.3532335
S1401,中華基督教會基真小學,葵青區,CCC Kei Chun Primary School,KWAI TSING DISTRICT,110,385,4,13,360,2,433,137,83,369,219,260,69,192,250,1103,12,7,27,563,4598,114.1367294,22.3423777
S1501,香港四邑商工總會陳南昌紀念中學,葵青區,The HKSYC&IA Chan Nam Chong Memorial College,KWAI TSING DISTRICT,132,319,1,5,349,4,414,353,32,482,252,237,51,166,179,1778,12,10,25,626,5427,114.1290254,22.3452453
S1601,葵芳社區會堂,葵青區,Kwai Fong Community Hall,KWAI TSING DISTRICT,250,431,8,9,360,5,432,183,64,412,209,217,66,180,150,911,18,6,29,576,4516,114.1272836,22.3595834
S1701,荔景社區會堂,葵青區,Lai King Community Hall,KWAI TSING DISTRICT,184,294,3,4,310,5,338,194,54,317,260,230,86,307,182,845,15,13,23,517,4181,114.126885,22.346255
S1801,葵盛社區會堂,葵青區,Kwai Shing Community Hall,KWAI TSING DISTRICT,1062,181,1,4,444,8,249,145,55,250,233,217,69,1634,106,401,20,4,19,542,5644,114.121667,22.361389
S1901,地利亞(閩僑)英文小學,葵青區,Delia (Man Kiu) English Primary School,KWAI TSING DISTRICT,115,268,5,10,412,2,269,296,83,292,233,260,115,482,90,594,28,9,12,634,4209,114.105668,22.360452
S1902,中華基督教會燕京書院,葵青區,CCC Yenching College,KWAI TSING DISTRICT,146,491,7,13,415,2,810,246,110,719,226,275,106,374,213,721,31,4,17,755,5681,114.1051964,22.362299
S2001,聖公會青衣邨何澤芸小學,葵青區,SKH Tsing Yi Estate Ho Chak Wan Primary School,KWAI TSING DISTRICT,125,425,5,5,337,0,600,172,58,697,234,265,85,1236,227,398,50,15,22,651,5607,114.104292,22.355735
S2101,荃灣商會學校,葵青區,Tsuen Wan Trade Association Primary School,KWAI TSING DISTRICT,202,380,4,9,543,5,544,201,95,508,287,348,106,850,199,570,97,17,23,905,5893,114.102734,22.353978
S2201,東華三院吳祥川紀念中學,葵青區,TWGHs S. C. Gaw Memorial College,KWAI TSING DISTRICT,30,65,2,1,117,0,143,203,17,115,60,60,14,133,34,264,75,7,3,164,1507,114.101794,22.352612
S2202,保良局世德小學,葵青區,PLK Castar Primary School,KWAI TSING DISTRICT,219,387,4,6,535,2,724,216,43,884,265,318,90,730,270,489,450,11,24,849,6516,114.106621,22.355094
S2301,長青社區中心,葵青區,Cheung Ching Estate Community Centre,KWAI TSING DISTRICT,73,147,3,2,244,1,393,105,41,155,113,117,40,216,53,278,41,0,9,226,2257,114.1069151,22.3488135
S2302,美景花園自修室,葵青區,"Study Room, Mayfair Gardens",KWAI TSING DISTRICT,122,388,3,5,278,0,413,150,34,202,175,126,54,382,105,408,39,5,23,406,3318,114.10731,22.3446735
S2401,青衣商會小學,葵青區,Tsing Yi Trade Association Primary School,KWAI TSING DISTRICT,59,151,4,2,241,2,1126,92,48,151,167,174,42,181,64,322,32,4,9,293,3164,114.104114,22.34938
S2402,青衣商會幼稚園,葵青區,Tsing Yi Trade Association Kindergarten,KWAI TSING DISTRICT,76,173,3,7,240,3,651,64,22,214,117,119,32,144,85,319,25,1,9,368,2672,114.1014702,22.3485598
S2501,樂善堂梁植偉紀念中學,葵青區,Lok Sin Tong Leung Chik Wai Memorial School,KWAI TSING DISTRICT,148,236,2,4,300,2,381,105,33,243,216,206,60,227,137,1317,36,6,31,407,4097,114.097857,22.350409
