Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,total,long,lat
M1301,橫洲村公所,元朗區,Wang Chau Village Office,YUEN LONG DISTRICT,20,100,3,9,201,1,187,250,420,119,97,83,20,68,33,32,3,0,6,333,1985,114.025689,22.452575
M1302,前沙江公立聯益學校,元朗區,Former Sha Kong Public Luen Yick School,YUEN LONG DISTRICT,5,31,1,4,52,0,69,149,191,38,31,25,7,23,14,6,1,3,2,97,749,113.992047,22.467012
M1401,基督教香港信義會榮真堂,元朗區,ELCHK Wing Jan Lutheran Church,YUEN LONG DISTRICT,3,9,0,1,24,1,83,23,129,14,20,12,3,17,5,7,3,1,1,43,399,113.9829678,22.463348
M1402,錫降圍村公所,元朗區,Sik Kong Wai Village Office,YUEN LONG DISTRICT,21,43,2,4,129,1,659,92,159,77,60,52,24,64,35,29,3,1,5,197,1657,113.9925241,22.4482099
M1403,鄰舍輔導會屯門/元朗鄉郊中心,元朗區,The Neighbourhood Advice-Action Council Tuen Mun / Yuen Long Rural Village Centre,YUEN LONG DISTRICT,39,87,0,5,132,1,474,132,190,118,59,78,24,67,43,42,3,4,8,233,1739,113.9964785,22.4340491
M1501,伊利沙伯中學舊生會小學分校,元朗區,Queen Elizabeth School Old Students' Association Branch Primary School,YUEN LONG DISTRICT,111,171,7,12,303,1,614,199,658,202,151,187,57,155,98,56,5,3,7,614,3611,114.0026664,22.4472241
M1502,獅子會何德心小學,元朗區,Lions Clubs International Ho Tak Sum Primary School,YUEN LONG DISTRICT,94,154,5,7,412,2,606,174,681,192,175,211,80,172,99,61,13,6,11,649,3804,114.0012616,22.4471518
M1601,天瑞社區中心,元朗區,Tin Shui Community Centre,YUEN LONG DISTRICT,97,217,6,84,696,4,350,245,1348,226,279,329,113,205,106,56,13,2,16,882,5274,113.999468,22.454975
M1701,東華三院姚達之紀念小學(元朗),元朗區,TWGHs Yiu Dak Chi Memorial Primary School (Yuen Long),YUEN LONG DISTRICT,62,140,4,207,520,2,266,147,897,165,226,233,95,191,77,42,4,6,15,648,3947,113.9966116,22.4575252
M1801,賽馬會毅智書院,元朗區,The Jockey Club Eduyoung College,YUEN LONG DISTRICT,78,181,6,14,332,2,602,205,530,248,194,215,79,193,95,102,8,2,13,576,3675,113.9990888,22.4601362
M1802,東華三院李東海小學,元朗區,TWGHs Leo Tung-hai Lee Primary School,YUEN LONG DISTRICT,53,114,5,125,466,2,157,120,740,92,146,193,52,119,42,40,5,6,10,570,3057,113.9950001,22.459906
M1901,天水圍循道衞理中學,元朗區,Tin Shui Wai Methodist College,YUEN LONG DISTRICT,73,116,4,11,476,5,307,268,862,155,170,526,101,450,67,86,12,5,13,606,4313,113.9996463,22.464587
M2001,天暉路社區會堂,元朗區,Tin Fai Road Community Hall,YUEN LONG DISTRICT,79,175,6,23,448,5,406,333,684,173,230,507,79,1014,99,108,5,3,14,654,5045,113.9971903,22.4650913
M2101,聖公會天水圍靈愛小學,元朗區,SKH Tin Shui Wai Ling Oi Primary School,YUEN LONG DISTRICT,75,186,4,18,730,0,227,550,910,158,230,330,158,481,74,62,9,6,12,728,4948,114.0010402,22.4679462
M2201,順德聯誼總會伍冕端小學,元朗區,STFA Wu Mien Tuen Primary School,YUEN LONG DISTRICT,74,136,3,14,813,3,185,446,594,155,251,373,427,1386,61,80,11,6,19,901,5938,114.0003897,22.4712778
M2301,元朗公立中學校友會英業小學,元朗區,YLPMS Alumni Association Ying Yip Primary School,YUEN LONG DISTRICT,84,226,1,28,701,1,275,355,564,151,251,301,167,1043,70,61,13,3,16,757,5068,114.0017195,22.4681283
M2401,天晴社區會堂,元朗區,Tin Ching Community Hall,YUEN LONG DISTRICT,260,164,3,20,389,2,354,339,440,185,219,279,111,1072,88,69,6,8,6,546,4560,114.002013,22.46304
M2501,香港管理專業協會羅桂祥中學,元朗區,The Hong Kong Management Association K S Lo College,YUEN LONG DISTRICT,105,380,5,24,531,3,849,417,1228,527,263,382,114,320,211,162,13,9,21,1199,6763,114.0067102,22.4577166
M2601,道慈佛社楊日霖紀念學校,元朗區,BTCFS Yeung Yat Lam Memorial School,YUEN LONG DISTRICT,126,109,2,13,332,4,215,185,681,130,531,166,93,132,62,49,5,4,10,436,3285,114.0066621,22.4541891
M2701,天水圍官立中學,元朗區,Tin Shui Wai Government Secondary School,YUEN LONG DISTRICT,154,204,6,13,515,4,304,189,1078,193,341,265,131,184,102,62,12,6,14,844,4621,114.0044784,22.4521323
M2801,天耀社區中心,元朗區,Tin Yiu Community Centre,YUEN LONG DISTRICT,154,158,3,18,500,2,209,148,1460,145,238,239,110,116,68,25,11,7,12,775,4398,114.0044319,22.4501759
M2901,裘錦秋中學 (元朗),元朗區,Ju Ching Chu Secondary School (Yuen Long),YUEN LONG DISTRICT,127,295,4,20,498,3,584,328,911,330,274,315,103,257,156,113,12,5,18,892,5245,114.0029274,22.4534384
M3001,香港青年協會李兆基小學,元朗區,HKFYG Lee Shau Kee Primary School,YUEN LONG DISTRICT,58,189,7,22,385,2,1045,265,478,268,196,257,73,207,119,120,17,6,19,671,4404,114.001317,22.46128
M3101,港澳信義會黃陳淑英紀念學校,元朗區,HKMLC Wong Chan Sook Ying Memorial School,YUEN LONG DISTRICT,47,365,4,9,306,4,861,360,612,646,205,188,37,202,165,228,7,7,16,840,5109,114.049529,22.472617
M3201,惇裕學校,元朗區,Tun Yu School,YUEN LONG DISTRICT,14,42,1,6,75,2,113,291,232,73,63,52,18,33,42,66,8,0,7,161,1299,114.077125,22.498382
M3202,聖加百利幼稚園,元朗區,St. Gavriel Kindergarten,YUEN LONG DISTRICT,37,182,0,7,198,2,396,453,541,315,126,119,33,96,75,118,7,11,8,378,3102,114.0554707,22.4734351
M3301,聖公會聖約瑟小學,元朗區,SKH St. Joseph's Primary School,YUEN LONG DISTRICT,24,103,2,7,241,2,698,321,229,188,114,123,28,120,62,99,7,5,12,636,3021,114.0671795,22.4389284
M3401,台山公立學校 (舊址),元朗區,Toi Shan Public School (Former),YUEN LONG DISTRICT,37,85,2,3,204,3,227,713,728,119,87,80,23,63,49,55,3,2,7,489,2979,114.093692,22.4443545
M3501,八鄉中心小學 (石湖塘),元朗區,Pat Heung Central Primary School (Shek Wu Tong),YUEN LONG DISTRICT,28,172,3,10,300,4,481,1157,957,278,151,161,35,118,97,100,12,4,10,1256,5334,114.086738,22.431674
