Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,total,long,lat
M0101,元朗商會小學,元朗區,Yuen Long Merchants Association Primary School,YUEN LONG DISTRICT,50,240,5,8,374,3,371,318,1227,254,161,290,71,171,131,69,7,1,4,650,4405,114.024016,22.4442127
M0201,聖公會靈愛小學,元朗區,SKH Ling Oi Primary School,YUEN LONG DISTRICT,52,214,4,9,318,2,826,210,563,195,187,200,55,183,109,48,10,6,15,553,3759,114.02157,22.445909
M0202,元朗公立中學校友會小學,元朗區,YLPMS Alumni Association Primary School,YUEN LONG DISTRICT,34,151,4,7,197,5,466,162,370,246,120,108,40,132,117,80,8,3,6,459,2715,114.0204609,22.4407179
M0301,朗屏社區會堂,元朗區,Long Ping Community Hall,YUEN LONG DISTRICT,64,689,3,10,582,1,387,235,1089,183,212,376,119,276,128,64,11,4,17,780,5230,114.0234523,22.4486467
M0401,元朗朗屏邨東莞學校,元朗區,Yuen Long Long Ping Estate Tung Koon Primary School,YUEN LONG DISTRICT,76,539,6,15,449,1,283,201,1207,145,208,281,63,160,108,59,17,7,12,636,4473,114.023636,22.451652
M0501,元朗郵政局,元朗區,Yuen Long Post Office,YUEN LONG DISTRICT,27,128,1,5,200,1,245,173,600,126,94,183,45,100,60,48,6,6,9,330,2387,114.0289112,22.4456185
M0502,鳳琴街體育館,元朗區,Fung Kam Street Sports Centre,YUEN LONG DISTRICT,36,207,5,10,390,2,677,193,595,277,130,255,58,133,113,66,9,5,10,617,3788,114.033024,22.443046
M0601,中華基督教會基元中學,元朗區,CCC Kei Yuen College,YUEN LONG DISTRICT,33,124,4,1,158,1,1139,103,143,286,102,113,37,57,65,41,5,2,2,530,2946,114.035331,22.441898
M0701,佛教榮茵學校,元朗區,Buddhist Wing Yan School,YUEN LONG DISTRICT,52,213,3,10,338,2,570,225,569,280,149,262,59,137,131,82,10,7,12,616,3727,114.0337344,22.44106
M0801,元朗官立小學,元朗區,Yuen Long Government Primary School,YUEN LONG DISTRICT,5,29,0,0,29,0,67,63,49,19,19,26,8,57,11,17,2,0,1,69,471,114.0438799,22.4427587
M0802,鐘聲學校,元朗區,Chung Sing School,YUEN LONG DISTRICT,34,165,6,6,244,1,492,204,326,259,167,155,35,354,92,54,10,4,14,569,3191,114.0330979,22.4486783
M0901,聖公會白約翰會督中學,元朗區,SKH Bishop Baker Secondary School,YUEN LONG DISTRICT,59,161,3,4,307,2,464,276,465,312,162,170,54,179,107,86,11,3,8,687,3520,114.035166,22.441459
M0902,明愛元朗陳震夏中學,元朗區,Caritas Yuen Long Chan Chun Ha Secondary School,YUEN LONG DISTRICT,40,102,2,5,177,0,280,271,369,213,131,99,34,117,82,46,6,5,7,409,2395,114.026398,22.441102
M1001,瑋琦文化教育機構(殷翠幼稚園),元朗區,Vichy Educational & Cultural Organisation Jade Kindergarten,YUEN LONG DISTRICT,17,76,2,2,148,1,198,188,213,98,82,107,39,262,51,19,6,3,6,365,1883,114.034442,22.442849
M1002,香港童軍總會蔡志明聯光童軍中心,元朗區,Scout Association of Hong Kong Choi Chee Ming Luen Kwong Scout Centre,YUEN LONG DISTRICT,40,123,3,3,254,4,331,336,496,154,128,160,43,330,78,59,8,0,9,501,3060,114.025508,22.418723
M1101,工業福音團契元朗惠群天地,元朗區,The Industrial Evangelistic Fellowship Ltd. Yuen Long Wai Kwan Centre,YUEN LONG DISTRICT,20,82,2,7,122,2,206,198,429,136,64,92,24,78,48,21,1,6,5,269,1812,114.0120219,22.441101
M1102,可道中學(嗇色園主辦),元朗區,Ho Dao College (Sponsored by Sik Sik Yuen),YUEN LONG DISTRICT,62,193,5,11,367,3,415,239,690,229,182,210,49,208,92,63,12,6,14,567,3617,113.9995597,22.4337652
M1201,屏山天水圍體育館,元朗區,Ping Shan Tin Shui Wai Sports Centre,YUEN LONG DISTRICT,28,60,1,4,175,0,164,519,220,131,85,76,24,80,49,30,4,3,12,290,1955,114.0048501,22.447361
