Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,list21,list22,total,long,lat
P0101,大埔社區中心(展覽廳),大埔區,Tai Po Community Centre (Exhibition Hall),TAI PO DISTRICT,147,196,3,171,195,320,332,21,97,117,36,111,163,150,4,12,26,298,212,2,136,852,3601,114.1659974,22.4467585
P0201,大埔官立中學,大埔區,Tai Po Government Secondary School,TAI PO DISTRICT,193,494,2,230,266,417,524,74,325,170,11,192,180,346,1,14,30,432,453,4,182,808,5348,114.168567,22.451535
P0301,新界婦孺福利會梁省德學校,大埔區,NTW&JWAL Leung Sing Tak Primary School,TAI PO DISTRICT,81,190,1,105,129,188,211,54,109,96,13,75,85,131,1,4,18,223,186,0,73,313,2286,114.166803,22.454509
P0302,香港紅卍字會大埔卍慈中學,大埔區,HKRSS Tai Po Secondary School,TAI PO DISTRICT,102,170,3,182,200,267,282,20,100,89,4,69,165,163,3,10,19,273,296,0,68,612,3097,114.1712754,22.4607089
P0401,大元社區會堂,大埔區,Tai Yuen Community Hall,TAI PO DISTRICT,136,207,5,231,357,304,400,30,230,138,13,106,293,228,6,19,20,401,315,5,93,879,4416,114.168611,22.455556
P0501,富亨鄰里社區中心,大埔區,Fu Heng Neighbourhood Community Centre,TAI PO DISTRICT,207,335,7,336,474,496,605,39,246,173,14,159,274,308,9,22,27,610,599,4,160,1001,6105,114.171906,22.459861
P0601,富善社區會堂,大埔區,Fu Shin Community Hall,TAI PO DISTRICT,193,278,4,275,356,455,405,50,204,151,20,133,277,1516,4,8,22,535,411,1,138,1176,6612,114.176401,22.45468
P0701,香港道教聯合會圓玄學院第二中學,大埔區,HKTA The Yuen Yuen Institute No. 2 Secondary School,TAI PO DISTRICT,195,391,9,228,277,359,345,54,212,184,15,135,331,963,9,19,29,443,396,3,126,704,5427,114.1763163,22.4528982
P0801,廣福社區會堂,大埔區,Kwong Fuk Community Hall,TAI PO DISTRICT,124,200,1,151,278,286,360,31,93,64,15,68,229,146,2,12,15,353,256,4,65,1317,4070,114.174264,22.447365
P0802,大埔崇德黃建常紀念學校,大埔區,Sung Tak Wong Kin Sheung Memorial School,TAI PO DISTRICT,41,55,2,42,45,84,80,18,42,28,3,38,35,46,0,0,5,56,69,1,30,157,877,114.1693478,22.4488692
P0901,大埔浸信會公立學校,大埔區,Tai Po Baptist Public School,TAI PO DISTRICT,202,315,6,176,286,358,423,43,138,109,5,132,225,215,6,12,19,491,298,3,112,1309,4883,114.1739368,22.448131
P1001,香港教師會李興貴中學,大埔區,Hong Kong Teachers' Association Lee Heng Kwei Secondary School,TAI PO DISTRICT,333,369,11,244,378,635,681,161,218,321,36,338,202,271,6,15,31,508,384,4,392,1099,6637,114.1693495,22.4422462
P1002,保良局田家炳千禧小學,大埔區,PLK Tin Ka Ping Millennium Primary School,TAI PO DISTRICT,77,132,0,53,87,138,179,61,76,162,6,170,44,68,2,2,8,147,65,0,203,295,1975,114.1960929,22.4306563
P1101,運頭塘鄰里社區中心,大埔區,Wan Tau Tong Neighbourhood Community Centre,TAI PO DISTRICT,175,259,1,256,340,442,479,47,174,143,13,138,251,216,3,10,21,418,447,0,202,814,4849,114.16606,22.442179
P1201,仁濟醫院蔡衍濤小學,大埔區,YCH Choi Hin To Primary School,TAI PO DISTRICT,221,270,6,174,216,443,397,88,136,178,6,175,168,176,3,14,10,317,222,4,199,550,3973,114.166432,22.441542
P1202,挪威國際學校,大埔區,Norwegian International School,TAI PO DISTRICT,58,58,1,72,68,125,120,21,50,55,9,50,44,62,3,2,4,110,67,0,54,199,1232,114.1578927,22.4479763
P1301,南華莆村崇真堂,大埔區,Nam Wah Po Village Tsung Tsin Church,TAI PO DISTRICT,24,20,0,17,26,32,51,5,12,14,1,15,8,8,0,1,8,28,14,0,11,125,420,114.151902,22.475818
P1302,獅子會林村青年中心,大埔區,Lions Club Lam Tsuen Youth Centre,TAI PO DISTRICT,107,126,5,111,198,245,256,36,76,109,41,75,65,118,1,10,17,261,157,2,98,667,2781,114.1420799,22.4568465
P1303,圍頭村村公所,大埔區,Wai Tau Village Office,TAI PO DISTRICT,17,31,2,31,32,51,61,6,31,14,4,26,18,18,0,1,5,70,48,0,202,82,750,114.147686,22.4638171
P1304,泰亨公立學校,大埔區,Tai Hang Public School,TAI PO DISTRICT,48,45,0,31,58,72,80,7,32,52,99,42,37,31,3,3,7,83,58,1,36,137,962,114.1937244,22.2751881
P1401,神召會康樂中學,大埔區,Assembly of God Hebron Secondary School,TAI PO DISTRICT,179,286,3,285,337,502,472,42,189,147,10,121,270,664,2,28,35,504,442,2,146,1208,5874,114.159377,22.450603
P1501,林村公立黃福鑾紀念學校,大埔區,Lam Tsuen Public Wong Fook Luen Memorial School,TAI PO DISTRICT,172,421,4,324,352,456,497,33,191,179,19,105,302,270,9,19,18,475,419,2,148,1083,5498,114.1633965,22.4504839
P1601,太和鄰里社區中心,大埔區,Tai Wo Neighbourhood Community Centre,TAI PO DISTRICT,172,418,5,242,286,597,558,74,217,226,20,164,147,314,1,12,37,483,365,6,396,540,5280,114.1615387,22.4526093
P1701,大埔三育中學,大埔區,Tai Po Sam Yuk Secondary School,TAI PO DISTRICT,132,207,7,148,191,360,307,57,124,141,29,149,77,177,0,7,29,294,218,0,163,465,3282,114.15916,22.454415
P1702,九龍坑公立育賢學校,大埔區,Kau Lung Hang Public Yuk Yin School,TAI PO DISTRICT,28,56,2,27,65,85,110,15,24,55,30,31,33,32,0,5,2,84,59,2,27,325,1097,114.131528,22.502856
P1703,康樂園服務處會議室,大埔區,Conference Room of Hong Lok Yuen Management Services Office,TAI PO DISTRICT,55,68,3,39,46,93,103,68,28,122,3,126,40,38,1,1,6,63,26,0,135,152,1216,114.1523662,22.4624423
P1704,孔教學院大成何郭佩珍中學,大埔區,Confucian Tai Shing Ho Kwok Pui Chun College,TAI PO DISTRICT,83,82,3,73,74,147,126,17,59,64,19,80,37,94,3,3,9,143,86,0,74,212,1488,114.1762122,22.4555588
P1801,大美督村公所,大埔區,Tai Mei Tuk Village Office,TAI PO DISTRICT,60,59,1,64,111,146,160,30,51,100,56,61,50,73,3,2,12,156,96,1,78,377,1747,114.232998,22.473355
P1802,船灣詹屋村村公所,大埔區,Shuen Wan Chim Uk Village Office,TAI PO DISTRICT,89,94,4,103,113,224,207,22,65,121,68,82,53,98,0,6,16,216,120,1,142,469,2313,114.207795,22.464284
