Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,total,long,lat
J1701,藍田聖保祿中學,觀塘區,St. Paul's School (Lam Tin),KWUN TONG DISTRICT,637,8,14,11,152,274,10,137,199,206,48,170,1866,114.2371226,22.3089395
J1702,飛雁幼稚園,觀塘區,Fei Ngan Kindergarten,KWUN TONG DISTRICT,1071,19,12,20,285,376,14,413,602,385,161,411,3769,114.234519,22.31035
J1801,藍田(東區)社區會堂,觀塘區,Lam Tin (East) Community Hall,KWUN TONG DISTRICT,311,37,20,29,226,2064,18,732,587,502,194,447,5167,114.239495,22.308388
J1802,藍田(南)體育館,觀塘區,Lam Tin (South) Sports Centre,KWUN TONG DISTRICT,483,33,20,15,252,1777,12,465,621,480,177,407,4742,114.2388532,22.3038534
J1901,聖公會李兆強小學,觀塘區,SKH Lee Shiu Keung Primary School,KWUN TONG DISTRICT,508,38,15,34,1334,806,17,492,671,752,265,555,5487,114.236926,22.306803
J2001,聖公會慈光堂聖匠幼稚園,觀塘區,SKH Kindly Light Church Holy Carpenter Kindergarten,KWUN TONG DISTRICT,452,21,11,20,259,767,9,456,563,295,126,318,3297,114.2391302,22.302501
J2101,保良局方王錦全幼稚園,觀塘區,PLK Mrs. Fong Wong Kam Chuen Kindergarten,KWUN TONG DISTRICT,359,25,13,18,422,1038,15,416,477,369,137,311,3600,114.2423004,22.2979446
J2201,中華基督教會基法小學(油塘),觀塘區,CCC Kei Faat Primary School (Yau Tong),KWUN TONG DISTRICT,941,47,35,22,718,516,18,496,443,550,193,431,4410,114.234247,22.299856
J2301,油塘社區會堂,觀塘區,Yau Tong Community Hall,KWUN TONG DISTRICT,1041,39,39,17,769,1852,26,753,631,582,271,511,6531,114.239112,22.295658
J2302,福建中學附屬學校,觀塘區,Fukien Secondary School Affiliated School,KWUN TONG DISTRICT,587,22,19,19,532,595,12,324,335,238,81,233,2997,114.237574,22.300224
J2401,天主教普照中學,觀塘區,Po Chiu Catholic Secondary School,KWUN TONG DISTRICT,915,36,24,24,731,464,10,405,433,469,167,362,4040,114.237981,22.298018
J2402,鯉魚門體育館,觀塘區,Lei Yue Mun Sports Centre,KWUN TONG DISTRICT,47,6,6,8,165,70,2,57,91,59,20,74,605,114.238717,22.292192
J2501,茜草灣鄰里社區中心,觀塘區,Sai Tso Wan Neighbourhood Community Centre,KWUN TONG DISTRICT,505,31,32,17,1674,951,20,927,2877,531,271,601,8437,114.2289263,22.3072061
J2601,藍田(西區)社區中心,觀塘區,Lam Tin (West) Estate Community Centre,KWUN TONG DISTRICT,505,39,34,49,1361,761,25,998,1754,687,334,838,7385,114.233808,22.308905
J2701,天主教佑華小學,觀塘區,Our Lady of China Catholic Primary School,KWUN TONG DISTRICT,738,46,35,48,1372,504,16,893,686,568,214,562,5682,114.2303903,22.3129507
J2801,觀塘瑪利諾書院,觀塘區,Kwun Tong Maryknoll College,KWUN TONG DISTRICT,660,21,32,24,700,355,13,1327,469,453,174,441,4669,114.228252,22.318546
J2901,地利亞修女紀念學校(月華),觀塘區,Delia Memorial School (Yuet Wah),KWUN TONG DISTRICT,395,29,38,26,1159,370,19,532,731,388,156,483,4326,114.2269755,22.3141157
J3001,瑞和街體育館,觀塘區,Shui Wo Street Sports Centre,KWUN TONG DISTRICT,285,19,24,15,656,185,9,248,243,227,96,231,2238,114.22428,22.315663
J3002,曉光街體育館,觀塘區,Hiu Kwong Street Sports Centre,KWUN TONG DISTRICT,261,12,15,5,493,179,5,374,380,196,98,281,2299,114.2278189,22.3196477
J3101,觀塘功樂官立中學,觀塘區,Kwun Tong Kung Lok Government Secondary School,KWUN TONG DISTRICT,462,32,34,30,861,446,5,559,725,391,401,488,4434,114.222406,22.318236
J3201,聖公會基顯小學,觀塘區,SKH Kei Hin Primary School,KWUN TONG DISTRICT,568,26,26,25,1045,334,12,1077,407,393,208,401,4522,114.217289,22.318025
J3301,循道衛理觀塘社會服務處牛頭角青少年綜合服務中心,觀塘區,Kwun Tong Methodist Social Service Ngau Tau Kok Youth Integrated Service Centre,KWUN TONG DISTRICT,438,48,65,36,459,1208,22,557,550,392,137,433,4345,114.2155053,22.3197438
J3401,振華道體育館,觀塘區,Chun Wah Road Sports Centre,KWUN TONG DISTRICT,184,13,15,10,169,181,5,242,255,118,62,138,1392,114.219702,22.323118
J3402,保良局顧卞裘莉長者日間護理中心,觀塘區,PLK Koo Bin Kau Lee Day Care Centre for the Elderly,KWUN TONG DISTRICT,375,31,55,27,430,1062,9,640,512,330,117,401,3989,114.2156911,22.3217195
J3501,彩頤居禮堂,觀塘區,"The Hall, Cheerful Court",KWUN TONG DISTRICT,457,28,47,40,924,464,19,677,1105,593,251,782,5387,114.2163578,22.3256697
J3601,聖公會基樂小學,觀塘區,SKH Kei Lok Primary School,KWUN TONG DISTRICT,1039,37,28,31,427,361,22,476,427,385,310,429,3972,114.219683,22.322233
J3701,樂華社區中心,觀塘區,Lok Wah Estate Community Centre,KWUN TONG DISTRICT,1125,37,40,19,641,467,20,433,349,323,135,254,3843,114.222657,22.3205314
