Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,total,long,lat
J0101,觀塘官立小學,觀塘區,Kwun Tong Government Primary School,KWUN TONG DISTRICT,226,19,18,8,486,187,6,247,305,226,121,241,2090,114.217952,22.316522
J0102,觀塘社區中心,觀塘區,Kwun Tong Community Centre,KWUN TONG DISTRICT,231,18,11,19,380,136,11,335,188,191,73,167,1760,114.2294371,22.3130092
J0201,德福花園社區會堂,觀塘區,Telford Gardens Community Hall,KWUN TONG DISTRICT,432,29,43,47,952,756,16,631,957,379,141,492,4875,114.2125663,22.3243965
J0301,啟業社區會堂,觀塘區,Kai Yip Community Hall,KWUN TONG DISTRICT,303,44,51,26,289,1058,9,653,462,307,101,313,3616,114.2101182,22.3283537
J0401,仁濟醫院羅陳楚思中學,觀塘區,Yan Chai Hospital Law Chan Chor Si College,KWUN TONG DISTRICT,468,45,35,28,756,1097,23,708,1684,560,299,622,6325,114.208188,22.328042
J0501,坪石天主教小學,觀塘區,Ping Shek Estate Catholic Primary School,KWUN TONG DISTRICT,328,36,31,35,234,1383,13,503,586,411,131,386,4077,114.210604,22.334147
J0601,佐敦谷聖若瑟天主教小學,觀塘區,Jordan Valley St. Joseph's Catholic Primary School,KWUN TONG DISTRICT,503,44,36,26,399,1514,16,404,530,400,94,422,4388,114.214006,22.328809
J0701,香港基督教服務處樂暉長者地區中心,觀塘區,Hong Kong Christian Service Bliss District Elderly Community Centre,KWUN TONG DISTRICT,389,35,27,14,251,835,18,252,300,276,97,243,2737,114.2170965,22.3278942
J0702,天主教彩霞邨潔心幼稚園,觀塘區,Choi Ha Estate Kit Sam Kindergarten,KWUN TONG DISTRICT,239,21,20,24,221,359,15,315,293,214,68,243,2032,114.21725,22.325428
J0801,寧波第二中學,觀塘區,Ning Po No. 2 College,KWUN TONG DISTRICT,571,26,38,18,274,810,10,1539,265,362,139,328,4380,114.228273,22.324605
J0901,順利社區中心,觀塘區,Shun Lee Estate Community Centre,KWUN TONG DISTRICT,461,30,23,11,646,338,14,600,466,311,129,344,3373,114.227239,22.331448
J0902,中華基督教會基順學校,觀塘區,CCC Kei Shun Special School,KWUN TONG DISTRICT,471,15,32,21,1907,943,14,363,325,279,105,244,4719,114.223442,22.332908
J1001,迦密梁省德學校,觀塘區,Carmel Leung Sing Tak School,KWUN TONG DISTRICT,575,26,32,27,291,615,12,957,278,272,131,261,3477,114.225388,22.328257
J1101,秀茂坪天主教小學,觀塘區,Sau Mau Ping Catholic Primary School,KWUN TONG DISTRICT,651,43,54,33,497,1914,20,455,567,899,295,484,5912,114.2366214,22.3180718
J1201,基督教聖約教會堅樂小學,觀塘區,The Mission Covenant Church Holm Glad Primary School,KWUN TONG DISTRICT,728,48,25,33,924,471,19,621,414,590,193,412,4478,114.2320703,22.3206979
J1301,路德會陳蒙恩幼稚園,觀塘區,Chan Mung Yan Lutheran Kindergarten,KWUN TONG DISTRICT,362,31,19,19,1003,307,18,594,567,363,188,537,4008,114.22984,22.320091
J1302,宣道會秀茂坪陳李詠貞幼稚園,觀塘區,CASMP Chen Lee Wing Tsing Kindergarten,KWUN TONG DISTRICT,300,22,36,26,756,225,8,476,503,311,164,324,3151,114.228715,22.321841
J1401,觀塘官立小學(秀明道),觀塘區,Kwun Tong Government Primary School (Sau Ming Road),KWUN TONG DISTRICT,514,35,29,14,1098,665,13,497,374,431,150,346,4166,114.233927,22.315068
J1402,中華傳道會基石堂 ,觀塘區,CNEC Kei Shek Church,KWUN TONG DISTRICT,118,11,14,11,213,244,1,133,115,132,87,119,1198,114.2374275,22.3165821
J1501,秀明小學,觀塘區,Sau Ming Primary School,KWUN TONG DISTRICT,484,33,18,25,280,1516,18,428,426,591,228,433,4480,114.232881,22.319442
J1601,聖愛德華天主教小學,觀塘區,St. Edward's Catholic Primary School,KWUN TONG DISTRICT,798,30,22,19,300,1014,14,799,618,562,230,533,4939,114.2376102,22.3114555
