Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,total,long,lat
G0101,馬頭涌官立小學,九龍城區,Ma Tau Chung Government Primary School,KOWLOON CITY DISTRICT,157,5,612,540,358,13,425,444,12,1467,11,775,354,15,178,5366,114.186772,22.32462
G0201,土瓜灣體育館,九龍城區,To Kwa Wan Sports Centre,KOWLOON CITY DISTRICT,199,9,843,1013,177,25,606,698,12,1874,14,1032,644,25,407,7578,114.1902877,22.3188874
G0301,保良局林文燦英文小學,九龍城區,PLK Lam Man Chan English Primary School,KOWLOON CITY DISTRICT,160,3,595,868,139,12,423,492,12,1231,14,784,440,16,224,5413,114.1882169,22.3186695
G0401,獻主會聖馬善樂小學,九龍城區,St. Eugene de Mazenod Oblate Primary School,KOWLOON CITY DISTRICT,131,7,566,1507,92,9,313,529,9,632,9,643,338,12,271,5068,114.1862403,22.3199633
G0501,聖文嘉幼稚園,九龍城區,St. Monica's Kindergarten,KOWLOON CITY DISTRICT,69,4,253,199,588,10,204,177,6,824,10,380,187,14,68,2993,114.183155,22.314443
G0502,循道衛理楊震社會服務處何文田青少年綜合發展中心,九龍城區,YMMSS Homantin Integrated Centre for Youth Development,KOWLOON CITY DISTRICT,43,5,168,153,658,2,198,132,6,637,0,269,171,13,55,2510,114.1824438,22.3166857
G0601,余振強紀念中學,九龍城區,Yu Chun Keung Memorial College,KOWLOON CITY DISTRICT,64,6,544,741,57,6,215,464,11,671,14,555,210,4,324,3886,114.178596,22.318445
G0602,何文田官立中學,九龍城區,Homantin Government Secondary School,KOWLOON CITY DISTRICT,38,5,312,404,38,7,89,262,3,328,7,262,97,7,147,2006,114.1803023,22.3210296
G0701,明愛九龍社區中心,九龍城區,Caritas Community Centre - Kowloon,KOWLOON CITY DISTRICT,33,1,335,360,28,3,101,207,2,378,18,276,102,5,135,1984,114.1777944,22.3259593
G0702,九龍總商會,九龍城區,Kowloon Chamber of Commerce,KOWLOON CITY DISTRICT,73,3,521,462,96,7,228,356,2,436,16,503,189,5,157,3054,114.1743343,22.318505
