Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,total,long,lat
G0801,賽馬會官立中學,九龍城區,Jockey Club Government Secondary School,KOWLOON CITY DISTRICT,78,5,613,661,61,7,236,431,10,715,10,507,237,12,257,3840,114.1811383,22.3293553
G0901,九龍塘官立小學,九龍城區,Kowloon Tong Government Primary School,KOWLOON CITY DISTRICT,68,3,561,698,50,12,227,409,7,737,21,562,216,14,297,3882,114.17844,22.336039
G0902,九龍方方樂趣幼稚兒園,九龍城區,Kowloon Funful Kindergarten & Children's Corner,KOWLOON CITY DISTRICT,12,0,66,167,3,0,22,65,0,129,5,62,16,1,37,585,114.18144,22.33219
G1001,九龍城體育館,九龍城區,Kowloon City Sports Centre,KOWLOON CITY DISTRICT,83,1,356,202,70,7,238,241,8,878,7,450,210,10,93,2854,114.1890542,22.3295108
G1101,聖三一堂小學,九龍城區,Holy Trinity Primary School,KOWLOON CITY DISTRICT,99,2,455,531,216,10,320,319,15,660,18,534,283,9,183,3654,114.18849,22.325128
G1201,保良局溫林美賢耆暉中心,九龍城區,PLK Wan Lam May Yin Shirley Neighborhood Elderly Centre,KOWLOON CITY DISTRICT,88,3,149,1149,49,11,198,263,4,343,9,228,237,7,54,2792,114.2032059,22.3312014
G1301,佛教陳策文伉儷幼稚園,九龍城區,Buddhist Mr. & Mrs. Chan Chart Man Kindergarten,KOWLOON CITY DISTRICT,110,8,250,1381,58,14,250,402,16,829,10,384,361,17,123,4213,114.203378,22.3297697
G1501,基督教香港信義會紅磡信義學校,九龍城區,ELCHK Hung Hom Lutheran Primary School,KOWLOON CITY DISTRICT,61,9,236,357,25,7,209,176,9,946,6,293,177,9,94,2614,114.187897,22.318409
G1601,中華基督教會基道中學,九龍城區,CCC Kei To Secondary School,KOWLOON CITY DISTRICT,85,7,358,799,45,6,200,386,5,361,9,416,257,5,141,3080,114.1904874,22.3134489
G1701,博愛醫院任永賢夫人幼稚園幼兒中心,九龍城區,POH Mrs. Yam Wing Yin Kindergarten Day Nursery,KOWLOON CITY DISTRICT,39,1,415,659,25,3,134,381,4,429,18,404,220,4,256,2992,114.191919,22.3081791
G1702,紅磡社區會堂,九龍城區,Hung Hom Community Hall,KOWLOON CITY DISTRICT,79,7,289,459,34,10,193,262,3,389,10,382,218,7,97,2439,114.1897274,22.3120201
G1801,葛量洪校友會黃埔學校,九龍城區,GCE Past Students' Association Whampoa Primary School,KOWLOON CITY DISTRICT,129,6,878,1913,87,8,374,764,15,584,18,1088,829,9,446,7148,114.1914023,22.303541
G1901,馬頭涌官立小學(紅磡灣),九龍城區,Ma Tau Chung Government Primary School (Hung Hom Bay),KOWLOON CITY DISTRICT,55,3,333,400,23,5,95,211,3,288,12,428,193,4,171,2224,114.1879191,22.3023902
G1902,香港青少年服務處賽馬會方樹泉綜合青少年服務中心,九龍城區,Hong Kong Children & Youth Services Jockey Club Fong Shu Chuen Integrated Children and Youth Services Centre,KOWLOON CITY DISTRICT,41,3,286,580,36,5,113,214,3,171,8,346,256,2,143,2207,114.1891858,22.3039436
G2001,聖公會聖匠中學,九龍城區,SKH Holy Carpenter Secondary School,KOWLOON CITY DISTRICT,153,5,673,1527,130,9,366,594,6,676,13,896,561,14,356,5979,114.1880676,22.3075856
G2101,紅磡市政大廈體育館,九龍城區,Hung Hom Municipal Services Building Sports Centre,KOWLOON CITY DISTRICT,89,3,372,877,164,7,366,331,4,1032,11,524,343,16,145,4284,114.187359,22.307271
G2201,愛培學校,九龍城區,Aoi Pui School,KOWLOON CITY DISTRICT,89,9,378,670,52,11,299,348,8,479,8,490,279,11,167,3298,114.1859452,22.3079546
G2301,何文田體育館,九龍城區,Ho Man Tin Sports Centre,KOWLOON CITY DISTRICT,83,11,426,678,35,13,371,520,11,877,10,432,314,12,82,3875,114.181071,22.311811
G2401,路德會包美達社區中心,九龍城區,Martha Boss Lutheran Community Centre,KOWLOON CITY DISTRICT,124,5,775,1256,91,15,512,876,7,992,24,842,478,25,271,6293,114.179195,22.316059
